Year,State,City,Q1,Q2,Q3,Q4,Price
2011,Spain,Madrid,0.25,0.5,0.15,0.1,20
2012,Spain,Barca,0.05,0.2,0.4,0.35,30
2013,Israel,TLV,0.3,0.6,0.01,0.09,55
2014,Spain,Barca,0.02,0.03,0.11,0.84,800
2015,Italy,Rome,0.56,,0.09,0.13,70
2016,Spain,Barca,0.14,0.28,0.34,,20
2017,US,LA,0.19,0.17,0.26,0.38,20
2011,Israel,Holon,0.5,0.2,0.6,0.1,30
2012,Italy,Milano,0.8,,0.11,0.63,70
2013,England,Manchester,0.25,,,0.6,8000
2014,Israel,Holon,0.99,,0.32,0.11,80
2015,England,London,0.25,0.5,0.15,0.1,50
2016,England,London,0.05,0.2,0.4,0.35,55
2017,England,Manchester,0.3,,0.01,0.09,12
2011,US,LA,0.02,0.03,0.11,0.84,120
2012,US,Dalas,0.56,0.22,0.09,0.13,12
2013,Israel,Holon,0.14,0.28,0.34,0.24,20
2014,Netherlands,Amsterdam,0.19,0.17,0.26,0.38,30
2015,Russia,Moscow,0.5,0.2,0.6,0.1,55
2016,Germany,Munich,0.8,0.6,0.11,0.63,70
2017,Poland,Varsha,0.25,0.01,0.8,0.6,80
2011,Germany,Munich,0.99,0.36,0.32,0.11,55
